country,year,sex,age,suicides_no,population
Brazil,2005,male,15-24,1247.0,18077858.0
Brazil,2005,male,25-34,1464.0,15374079.0
Brazil,2005,male,35-54,2490.0,22232378.0
Brazil,2005,male,05-14,52.0,17760955.0
Brazil,2005,male,55-74,1175.0,8908847.0
Brazil,2005,male,75+,297.0,1488505.0
Brazil,2006,female,15-24,387.0,17631557.0
Brazil,2006,female,25-34,333.0,15862415.0
Brazil,2006,female,35-54,708.0,24105759.0
Brazil,2006,female,05-14,61.0,17077355.0
Brazil,2006,female,55-74,265.0,10786642.0
Brazil,2006,female,75+,47.0,2466737.0
Brazil,2006,male,15-24,1293.0,18063460.0
Brazil,2006,male,25-34,1537.0,15717099.0
Brazil,2006,male,35-54,2536.0,22709135.0
Brazil,2006,male,05-14,64.0,17731288.0
Brazil,2006,male,55-74,1112.0,9247477.0
Brazil,2006,male,75+,275.0,1575798.0
Brazil,2007,female,15-24,379.0,17547530.0
Brazil,2007,female,25-34,392.0,16189977.0
Brazil,2007,female,35-54,723.0,24591528.0
Brazil,2007,female,05-14,51.0,17015233.0
Brazil,2007,female,55-74,275.0,11208413.0
Brazil,2007,female,75+,51.0,2581330.0
Brazil,2007,male,15-24,1267.0,17991928.0
Brazil,2007,male,25-34,1609.0,16075775.0
Brazil,2007,male,35-54,2516.0,23156759.0
Brazil,2007,male,05-14,67.0,17669069.0
Brazil,2007,male,55-74,1220.0,9611434.0
Brazil,2007,male,75+,305.0,1654216.0
Brazil,2008,female,15-24,398.0,17432076.0
Brazil,2008,female,25-34,365.0,16515414.0
Brazil,2008,female,35-54,745.0,25056164.0
Brazil,2008,female,05-14,49.0,16914401.0
Brazil,2008,female,55-74,309.0,11656750.0
Brazil,2008,female,75+,52.0,2693428.0
Brazil,2008,male,15-24,1375.0,17889839.0
Brazil,2008,male,25-34,1706.0,16430646.0
Brazil,2008,male,35-54,2608.0,23591045.0
Brazil,2008,male,05-14,55.0,17566837.0
Brazil,2008,male,55-74,1204.0,9996938.0
Brazil,2008,male,75+,318.0,1728094.0
Brazil,2009,female,15-24,343.0,17321655.0
Brazil,2009,female,25-34,351.0,16810330.0
Brazil,2009,female,35-54,768.0,25523153.0
Brazil,2009,female,05-14,52.0,16772250.0
Brazil,2009,female,55-74,301.0,12124076.0
Brazil,2009,female,75+,58.0,2811556.0
Brazil,2009,male,15-24,1270.0,17794434.0
Brazil,2009,male,25-34,1838.0,16753314.0
Brazil,2009,male,35-54,2737.0,24035191.0
Brazil,2009,male,05-14,62.0,17421892.0
Brazil,2009,male,55-74,1271.0,10398573.0
Brazil,2009,male,75+,295.0,1803127.0
Brazil,2010,female,15-24,368.0,17237481.0
Brazil,2010,female,25-34,404.0,17054489.0
Brazil,2010,female,35-54,835.0,26004856.0
Brazil,2010,female,05-14,48.0,16596829.0
Brazil,2010,female,55-74,339.0,12605588.0
Brazil,2010,female,75+,79.0,2940677.0
Brazil,2010,male,15-24,1288.0,17726866.0
Brazil,2010,male,25-34,1832.0,17023785.0
Brazil,2010,male,35-54,2586.0,24501254.0
Brazil,2010,male,05-14,56.0,17242386.0
Brazil,2010,male,55-74,1236.0,10813388.0
Brazil,2010,male,75+,358.0,1882113.0
Brazil,2011,female,15-24,413.0,17180849.0
Brazil,2011,female,25-34,400.0,17253232.0
Brazil,2011,female,35-54,805.0,26488792.0
Brazil,2011,female,05-14,47.0,16404101.0
Brazil,2011,female,55-74,352.0,13063915.0
Brazil,2011,female,75+,71.0,3110432.0
Brazil,2011,male,15-24,1335.0,17674787.0
Brazil,2011,male,25-34,1907.0,17249585.0
Brazil,2011,male,35-54,2754.0,24975171.0
Brazil,2011,male,05-14,63.0,17044425.0
Brazil,2011,male,55-74,1323.0,11208705.0
Brazil,2011,male,75+,352.0,2002447.0
Brazil,2012,female,15-24,383.0,17145894.0
Brazil,2012,female,25-34,455.0,17398447.0
Brazil,2012,female,35-54,877.0,26979566.0
Brazil,2012,female,05-14,41.0,16175024.0
Brazil,2012,female,55-74,418.0,13532752.0
Brazil,2012,female,75+,80.0,3285641.0
Brazil,2012,male,15-24,1313.0,17644319.0
Brazil,2012,male,25-34,1930.0,17418954.0
Brazil,2012,male,35-54,2885.0,25463652.0
Brazil,2012,male,05-14,79.0,16810876.0
Brazil,2012,male,55-74,1458.0,11612925.0
Brazil,2012,male,75+,376.0,2123165.0
Brazil,2013,female,15-24,362.0,17123318.0
Brazil,2013,female,25-34,393.0,17492228.0
Brazil,2013,female,35-54,897.0,27475364.0
Brazil,2013,female,05-14,50.0,15923724.0
Brazil,2013,female,55-74,433.0,14022927.0
Brazil,2013,female,75+,88.0,3462431.0
Brazil,2013,male,15-24,1317.0,17627508.0
Brazil,2013,male,25-34,2004.0,17534209.0
Brazil,2013,male,35-54,3053.0,25965164.0
Brazil,2013,male,05-14,72.0,16555477.0
Brazil,2013,male,55-74,1474.0,12036068.0
Brazil,2013,male,75+,370.0,2240434.0
Brazil,2014,female,15-24,371.0,17094729.0
Brazil,2014,female,25-34,457.0,17539955.0
Brazil,2014,female,35-54,871.0,27971096.0
Brazil,2014,female,05-14,62.0,15670559.0
Brazil,2014,female,55-74,389.0,14550395.0
Brazil,2014,female,75+,83.0,3634999.0
Brazil,2014,male,15-24,1358.0,17606681.0
Brazil,2014,male,25-34,1982.0,17601477.0
Brazil,2014,male,35-54,3050.0,26475231.0
Brazil,2014,male,05-14,84.0,16299015.0
Brazil,2014,male,55-74,1534.0,12492114.0
