Year,Country,sex,age,suicides_no,population,suicides_by_pop,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,crime_index,saftey_index
2013,Hungary,male,35-54,613.0,1409798.0,0.04348140655611655,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,male,35-54,613.0,1409798.0,0.04348140655611655,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,male,05-14,0.0,497640.0,0.0,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,male,05-14,0.0,497640.0,0.0,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,male,55-74,606.0,1058520.0,0.05724974492687904,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,male,55-74,606.0,1058520.0,0.05724974492687904,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,male,75+,201.0,234783.0,0.08561096842616374,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,male,75+,201.0,234783.0,0.08561096842616374,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2015,Hungary,female,15-24,15.0,551149.0,0.002721587084436332,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,female,25-34,27.0,610907.0,0.004419657983948457,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,female,35-54,132.0,1429644.0,0.009233067812686235,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,female,05-14,1.0,473285.0,0.0002112891809374901,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,female,55-74,181.0,1350675.0,0.013400707053880467,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,female,75+,123.0,514721.0,0.02389644098453337,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,male,15-24,69.0,582471.0,0.011846083324320009,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,male,25-34,129.0,637775.0,0.02022656893104935,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,male,35-54,472.0,1432703.0,0.032944720573629,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,male,05-14,2.0,499016.0,0.00040078875226445647,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,male,55-74,496.0,1065443.0,0.046553405484854656,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2015,Hungary,male,75+,221.0,241730.0,0.09142431638605054,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,41.76,58.24
2016,Hungary,female,15-24,14.0,536865.0,0.002607731925158094,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,female,25-34,30.0,602785.0,0.004976898894298962,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,female,35-54,121.0,1432415.0,0.00844727261303463,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,female,05-14,0.0,470109.0,0.0,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,female,55-74,161.0,1346205.0,0.011959545537269583,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,female,75+,120.0,521024.0,0.023031568603365683,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,male,15-24,58.0,568065.0,0.01021009919639478,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,male,25-34,98.0,633114.0,0.015479044848163207,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,male,35-54,450.0,1439105.0,0.031269434822337495,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,male,05-14,1.0,495244.0,0.00020192066940740322,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,male,55-74,495.0,1064355.0,0.046507039474611385,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2016,Hungary,male,75+,214.0,246437.0,0.08683760961219297,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,41.93,58.07
2013,Israel,female,15-24,5.0,597664.0,0.0008365904588531348,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,female,15-24,5.0,597664.0,0.0008365904588531348,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,female,25-34,15.0,571000.0,0.002626970227670753,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,female,25-34,15.0,571000.0,0.002626970227670753,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,female,35-54,26.0,932764.0,0.0027874146086255473,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,female,35-54,26.0,932764.0,0.0027874146086255473,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,female,05-14,0.0,702017.0,0.0,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,female,05-14,0.0,702017.0,0.0,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,female,55-74,23.0,627505.0,0.00366530943976542,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,female,55-74,23.0,627505.0,0.00366530943976542,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,female,75+,12.0,230693.0,0.005201718300945412,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,female,75+,12.0,230693.0,0.005201718300945412,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,male,15-24,30.0,623751.0,0.004809611527676909,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,male,15-24,30.0,623751.0,0.004809611527676909,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,male,25-34,47.0,574069.0,0.008187169138204642,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,male,25-34,47.0,574069.0,0.008187169138204642,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,male,35-54,102.0,907964.0,0.011233925574141707,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,male,35-54,102.0,907964.0,0.011233925574141707,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
2013,Israel,male,05-14,7.0,737875.0,0.0009486701677113332,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,48.26,51.74
2013,Israel,male,05-14,7.0,737875.0,0.0009486701677113332,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,48.26,51.74
